State,year,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers
Idaho,2013,3135,26120,12.00229709035222
Illinois,2013,60785,248350,24.475538554459433
Indiana,2013,10645,100510,10.59098597154512
Iowa,2013,7095,55200,12.853260869565217
Kansas,2013,6250,56320,11.097301136363637
Kentucky,2013,4750,53940,8.806080830552466
Louisiana,2013,5965,52765,11.304842224959726
Maine,2013,1470,21445,6.854744695733271
Maryland,2013,48890,227850,21.457098968619707
Massachusetts,2013,64255,224085,28.674386951380054
Michigan,2013,36605,198125,18.475709779179812
Minnesota,2013,20200,134340,15.036474616644336
Mississippi,2013,1435,24220,5.924855491329479
Missouri,2013,9845,101575,9.69234555746985
Montana,2013,385,15550,2.4758842443729905
Nebraska,2013,2600,32930,7.895535985423625
Nevada,2013,5920,36480,16.228070175438596
New Hampshire,2013,4925,40310,12.217811957330687
New Jersey,2013,91340,219260,41.658305208428345
New Mexico,2013,3500,36250,9.655172413793103
New York,2013,88280,327185,26.98167703287131
North Carolina,2013,30970,188950,16.390579518391107
North Dakota,2013,535,10135,5.278737049827331
Ohio,2013,24790,208450,11.8925401775006
Oklahoma,2013,4805,56925,8.440931049626702
Oregon,2013,14760,88985,16.587065235713887
Pennsylvania,2013,38240,244775,15.622510468797875
Rhode Island,2013,3615,21065,17.16116781390933
South Carolina,2013,6650,69265,9.600808489135927
South Dakota,2013,780,11855,6.5795023196963305
Tennessee,2013,9690,91485,10.59190031152648
Texas,2013,131150,511815,25.6244932250911
Utah,2013,6325,68620,9.217429320897699
Vermont,2013,875,11905,7.34985300293994
Virginia,2013,56185,272535,20.615700735685323
Washington,2013,58115,214740,27.062959858433455
West Virginia,2013,855,20165,4.240019836350112
Wisconsin,2013,11075,107330,10.318643436131557
Wyoming,2013,490,7220,6.786703601108034
Puerto Rico,2013,1285,26695,4.813635512268215
United States,2014,1499320,6603780,22.703966516146814
Alabama,2014,4525,74745,6.053916649943139
Alaska,2014,1230,14065,8.745111980092428
Arizona,2014,21495,122740,17.51262832002607
Arkansas,2014,4100,34795,11.783302198591752
California,2014,376700,933140,40.369076451550676
Colorado,2014,19070,163600,11.656479217603911
Connecticut,2014,21520,88970,24.187928515229853
Delaware,2014,5720,22555,25.360230547550433
District of Columbia,2014,4940,28810,17.146824019437695
Florida,2014,62850,291480,21.562371346233018
Georgia,2014,38220,192890,19.814401990771945
Hawaii,2014,4715,25420,18.548387096774192
Idaho,2014,1460,26295,5.5523863852443425
Illinois,2014,64620,266350,24.261310305988363
Indiana,2014,14140,109255,12.94219944167315
Iowa,2014,5800,56200,10.320284697508896
Kansas,2014,7785,55805,13.950362870710508
Kentucky,2014,5800,54985,10.548331363099027
Louisiana,2014,5450,58720,9.28133514986376
Maine,2014,2025,20155,10.047134706028281
Maryland,2014,56410,228330,24.705470152848946
Massachusetts,2014,62935,228240,27.574044865054333
Michigan,2014,36910,214420,17.213879302303887
Minnesota,2014,24195,147305,16.42510437527579
Mississippi,2014,1315,24240,5.4249174917491745
Missouri,2014,10570,99440,10.629525341914722
Montana,2014,670,17575,3.8122332859174963
Nebraska,2014,3255,33065,9.844246181763195
Nevada,2014,5275,33035,15.967912819736643
New Hampshire,2014,5420,38060,14.240672622175513
New Jersey,2014,95975,231625,41.435509983810036
New Mexico,2014,3910,34705,11.266388128511743
New York,2014,91645,336520,27.233151075716155
North Carolina,2014,30145,182635,16.50559859829715
North Dakota,2014,990,10925,9.061784897025172
Ohio,2014,32010,219670,14.57185778668002
Oklahoma,2014,4975,52905,9.403648048388622
Oregon,2014,14950,88410,16.909851826716434
Pennsylvania,2014,42030,250390,16.785814129957267
Rhode Island,2014,3830,22010,17.401181281235804
South Carolina,2014,7420,74915,9.904558499632918
South Dakota,2014,395,10965,3.6023711810305517
Tennessee,2014,10720,92980,11.529361152936115
Texas,2014,141200,533175,26.482862099685846
Utah,2014,6515,63275,10.29632556301857
Vermont,2014,760,12665,6.000789577575997
Virginia,2014,62570,289350,21.624330395714534
Washington,2014,55395,221570,25.001128311594528
West Virginia,2014,1010,19235,5.250844814140889
Wisconsin,2014,12385,119075,10.401007768213312
Wyoming,2014,390,8385,4.651162790697675
