State,year,rd-performed-dollar-millions,state-gdop-dollar-millions,rd-perform-perc-of-gdp
Michigan,2018,25438.0,520803,4.884380466318358
Minnesota,2018,8744.0,373420,2.341599271597665
Mississippi,2018,1171.0,112407,1.0417500689458843
Missouri,2018,8491.0,319394,2.6584719813146145
Montana,2018,462.0,50904,0.9075907590759077
Nebraska,2018,1148.0,126923,0.9044853966578161
Nevada,2018,1241.0,170353,0.7284873175112854
New Hampshire,2018,3089.0,83844,3.684223080959878
New Jersey,2018,22873.0,613509,3.7282256658011534
New Mexico,2018,7026.0,97269,7.223267433611942
New York,2018,25822.0,1694958,1.523459578349434
North Carolina,2018,15437.0,569982,2.708331140281623
North Dakota,2018,600.0,59093,1.0153486876618212
Ohio,2018,14273.0,666974,2.139963476837178
Oklahoma,2018,1664.0,202467,0.8218623281818765
Oregon,2018,9688.0,237066,4.086625665426506
Pennsylvania,2018,17481.0,772611,2.2625875116973484
Rhode Island,2018,1412.0,59129,2.3879991205668962
South Carolina,2018,2750.0,233665,1.1768985513448742
South Dakota,2018,344.0,52404,0.6564384398137547
Tennessee,2018,4816.0,361382,1.3326618370588463
Texas,2018,27214.0,1809706,1.5037801720279427
Utah,2018,4026.0,182644,2.2042881233437726
Vermont,2018,438.0,33033,1.325946780492235
Virginia,2018,11084.0,531757,2.084410736483018
Washington,2018,33816.0,564481,5.9906356458410475
West Virginia,2018,605.0,79045,0.7653868049845025
Wisconsin,2018,7597.0,332264,2.286434883105001
Wyoming,2018,157.0,39032,0.4022340643574503
Puerto Rico,2018,604.0,100958,0.5982685869371421
United States,2019,666875.0,21477708,3.104963527765626
Alabama,2019,5148.0,231172,2.226913293997543
Alaska,2019,354.0,54547,0.6489816121876547
Arizona,2019,8076.0,369988,2.182773495356606
Arkansas,2019,860.0,130840,0.6572913482115561
California,2019,193095.0,3052645,6.3254980516896
Colorado,2019,9842.0,392218,2.5093187971995166
Connecticut,2019,8885.0,288109,3.083902273098029
Delaware,2019,2397.0,77042,3.11128994574388
District of Columbia,2019,5968.0,144406,4.132792266249325
Florida,2019,11296.0,1116435,1.0117919986385235
Georgia,2019,7823.0,637799,1.2265619732862547
Hawaii,2019,647.0,91781,0.7049389307155075
Idaho,2019,3391.0,82420,4.114292647415676
Illinois,2019,18254.0,890486,2.0498918568062834
Indiana,2019,9765.0,381020,2.562857592777282
Iowa,2019,4075.0,194323,2.0970240270065816
Kansas,2019,3518.0,176739,1.9905057740510017
Kentucky,2019,2103.0,216102,0.9731515673154344
Louisiana,2019,1554.0,254562,0.6104603200791948
Maine,2019,685.0,68453,1.0006866024863776
Maryland,2019,22692.0,421610,5.382225279286544
Massachusetts,2019,39315.0,593257,6.626976167158584
Michigan,2019,24502.0,531435,4.610535625241092
Minnesota,2019,9436.0,383040,2.463450292397661
Mississippi,2019,1120.0,114734,0.9761709693726358
Missouri,2019,7856.0,332273,2.3643209047981633
Montana,2019,543.0,51789,1.0484851995597522
Nebraska,2019,1421.0,131352,1.0818259333698763
Nevada,2019,1342.0,181743,0.7384053306042049
New Hampshire,2019,3063.0,87508,3.5002514055857747
New Jersey,2019,23386.0,639437,3.657279763291771
New Mexico,2019,7614.0,101972,7.466755579963127
New York,2019,28717.0,1777752,1.6153546726427535
North Carolina,2019,17159.0,595655,2.880694361669087
North Dakota,2019,643.0,59005,1.0897381577832388
Ohio,2019,15687.0,693199,2.2629865305633734
Oklahoma,2019,1845.0,203700,0.9057437407952873
Oregon,2019,8871.0,246647,3.5966381103358236
Pennsylvania,2019,20788.0,799686,2.599520311722351
Rhode Island,2019,1473.0,61319,2.402191816565828
South Carolina,2019,2894.0,244662,1.1828563487586958
South Dakota,2019,347.0,53940,0.6433073785687802
Tennessee,2019,5920.0,376917,1.5706375674220052
Texas,2019,30921.0,1863954,1.6588928696738225
Utah,2019,3962.0,195088,2.030878372836874
Vermont,2019,392.0,34128,1.1486169714017815
Virginia,2019,11693.0,554306,2.1094846528812603
Washington,2019,41085.0,597874,6.871849252518089
West Virginia,2019,521.0,79140,0.658327015415719
Wisconsin,2019,8269.0,344725,2.3987236202770323
Wyoming,2019,792.0,39601,1.9999494962248425
Puerto Rico,2019,666.0,105126,0.633525483705268
