State,year,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e
Indiana,2006,1191,80110.0,14.867057795531144
Iowa,2006,662,43670.0,15.159148156629264
Kansas,2006,480,48620.0,9.872480460715755
Kentucky,2006,416,44680.0,9.310653536257833
Louisiana,2006,328,40180.0,8.16326530612245
Maine,2006,144,15950.0,9.028213166144202
Maryland,2006,1387,159470.0,8.697560669718442
Massachusetts,2006,3975,198670.0,20.008053556148386
Michigan,2006,3729,208520.0,17.883176673700362
Minnesota,2006,2949,125930.0,23.41777177797189
Mississippi,2006,124,24910.0,4.97792051384986
Missouri,2006,736,96420.0,7.633271105579755
Montana,2006,120,13010.0,9.223674096848578
Nebraska,2006,180,32500.0,5.538461538461538
Nevada,2006,382,26930.0,14.184923876717416
New Hampshire,2006,613,27680.0,22.145953757225435
New Jersey,2006,3115,176460.0,17.65272583021648
New Mexico,2006,349,30800.0,11.331168831168831
New York,2006,5581,306810.0,18.190411003552686
North Carolina,2006,1955,138790.0,14.086029252828014
North Dakota,2006,68,9360.0,7.264957264957265
Ohio,2006,2611,185190.0,14.099033425130946
Oklahoma,2006,552,50770.0,10.872562536931259
Oregon,2006,2074,64520.0,32.14507129572225
Pennsylvania,2006,2857,214910.0,13.293936996882415
Rhode Island,2006,277,18060.0,15.337763012181618
South Carolina,2006,573,53230.0,10.764606424948338
South Dakota,2006,74,10120.0,7.312252964426878
Tennessee,2006,665,67040.0,9.91945107398568
Texas,2006,6236,408710.0,15.25776222749627
Utah,2006,700,49690.0,14.087341517407928
Vermont,2006,435,12780.0,34.03755868544601
Virginia,2006,1101,251720.0,4.3739075162879395
Washington,2006,3244,171780.0,18.884619862614976
West Virginia,2006,102,17150.0,5.947521865889213
Wisconsin,2006,1687,96860.0,17.4168903572166
Wyoming,2006,48,7640.0,6.282722513089006
Puerto Rico,2006,27,23850.0,1.1320754716981132
United States,2007,79169,5591990.0,14.157571812539008
Alabama,2007,305,69650.0,4.379038047379756
Alaska,2007,18,11990.0,1.5012510425354462
Arizona,2007,1559,102380.0,15.227583512404767
Arkansas,2007,115,28460.0,4.040758959943781
California,2007,19576,753570.0,25.977679578539483
Colorado,2007,1747,138990.0,12.569249586301172
Connecticut,2007,1380,80280.0,17.189835575485798
Delaware,2007,337,22140.0,15.221318879855465
District of Columbia,2007,72,63150.0,1.1401425178147269
Florida,2007,2307,244140.0,9.449496190710247
Georgia,2007,1299,136880.0,9.490064289888954
Hawaii,2007,70,18740.0,3.735325506937033
Idaho,2007,1348,24330.0,55.404849979449246
Illinois,2007,2868,225180.0,12.736477484678923
Indiana,2007,1139,83080.0,13.70967741935484
Iowa,2007,596,45430.0,13.119084305524984
Kansas,2007,413,50040.0,8.25339728217426
Kentucky,2007,432,49030.0,8.810932082398532
Louisiana,2007,261,38450.0,6.788036410923277
Maine,2007,113,15960.0,7.080200501253133
Maryland,2007,1206,162540.0,7.419712070874862
Massachusetts,2007,3521,205610.0,17.12465347016196
Michigan,2007,3143,212040.0,14.82267496698736
Minnesota,2007,2572,129840.0,19.808995686999385
Mississippi,2007,140,25520.0,5.4858934169279
Missouri,2007,686,102170.0,6.714299696584124
Montana,2007,107,13240.0,8.081570996978853
Nebraska,2007,205,31420.0,6.524506683640993
Nevada,2007,363,26920.0,13.484398216939079
New Hampshire,2007,541,28450.0,19.015817223198592
New Jersey,2007,2656,186120.0,14.27036320653342
New Mexico,2007,288,33440.0,8.61244019138756
New York,2007,4958,322520.0,15.372690065732359
North Carolina,2007,1727,142970.0,12.079457228789257
North Dakota,2007,76,9660.0,7.867494824016562
Ohio,2007,2239,196390.0,11.400784153979327
Oklahoma,2007,466,51430.0,9.060859420571651
Oregon,2007,1887,67890.0,27.794962439239946
Pennsylvania,2007,2497,218890.0,11.407556306820778
Rhode Island,2007,250,18400.0,13.58695652173913
South Carolina,2007,418,54120.0,7.723577235772358
South Dakota,2007,58,11550.0,5.021645021645021
Tennessee,2007,620,70820.0,8.75458909912454
Texas,2007,5722,441410.0,12.96300491606443
Utah,2007,639,51340.0,12.446435527853525
Vermont,2007,453,12760.0,35.50156739811913
Virginia,2007,1003,254710.0,3.9378116289113114
Washington,2007,3187,183900.0,17.330070690592713
West Virginia,2007,101,16560.0,6.099033816425121
Wisconsin,2007,1395,99380.0,14.037029583417187
Wyoming,2007,53,8110.0,6.535141800246609
Puerto Rico,2007,30,23630.0,1.2695725772323319
United States,2008,77160,5781460.0,13.346109806173528
Alabama,2008,263,68580.0,3.8349372995042286
Alaska,2008,19,13260.0,1.4328808446455503
Arizona,2008,1552,102100.0,15.200783545543585
Arkansas,2008,111,29310.0,3.787103377686796
California,2008,19184,791750.0,24.229870539943164
Colorado,2008,1611,147000.0,10.959183673469386
Connecticut,2008,1318,80290.0,16.41549383484867
Delaware,2008,307,22330.0,13.748320644872368
District of Columbia,2008,62,63360.0,0.9785353535353536
Florida,2008,2013,248200.0,8.110394842868654
Georgia,2008,1338,147380.0,9.078572397883024
Hawaii,2008,81,18830.0,4.301646309081253
Idaho,2008,1162,23310.0,49.84984984984985
Illinois,2008,2719,224370.0,12.118375896955921
Indiana,2008,1008,90840.0,11.096433289299869
Iowa,2008,540,46180.0,11.693373754872239
Kansas,2008,406,54260.0,7.482491706597862
Kentucky,2008,413,,
Louisiana,2008,257,41790.0,6.149796602057909
Maine,2008,118,17000.0,6.9411764705882355
