State,year,fed-rd-obligations-dollar-thous,individuals-se-occupations,fed-rd-obligations-by-indiv-se-,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers,rd-performed-dollar-millions,state-gdop-dollar-millions,rd-perform-perc-of-gdp
Arkansas,2005,164975.0,24660.0,6689.983779399838,122.0,24660.0,4.947283049472831,2160.0,24710.0,8.741400242816672,528.0,90888.0,0.5809347768682335
California,2005,19964268.0,716530.0,27862.43144041422,17896.0,716530.0,24.975925641633985,275540.0,735680.0,37.45378425402349,63874.0,1698560.0,3.7604794649585527
Colorado,2005,2264933.0,126110.0,17959.979383078266,1849.0,126110.0,14.661803187693284,16010.0,134665.0,11.888760999517322,5807.0,220784.0,2.630172476266396
Connecticut,2005,2399563.0,83930.0,28590.0512331705,1499.0,83930.0,17.860121529846303,17580.0,81905.0,21.463891093339846,8987.0,205215.0,4.379309504665838
Delaware,2005,94151.0,18010.0,5227.7068295391455,330.0,18010.0,18.323153803442533,4275.0,17845.0,23.956290277388625,1635.0,52154.0,3.134946504582582
District of Columbia,2005,4161778.0,63410.0,65632.83393786469,56.0,63410.0,0.8831414603374862,4670.0,19515.0,23.93031001793492,3342.0,84868.0,3.9378800018852806
Florida,2005,2590033.0,241000.0,10747.02489626556,2255.0,241000.0,9.356846473029044,50120.0,236600.0,21.18343195266272,6224.0,705852.0,0.8817712494970616
Georgia,2005,2181847.0,137580.0,15858.751271987208,1209.0,137580.0,8.78761447884867,28090.0,154175.0,18.21955569969191,3867.0,389538.0,0.9927144463441306
Hawaii,2005,600260.0,17460.0,34379.15234822452,51.0,17460.0,2.9209621993127146,2290.0,17415.0,13.149583692219352,513.0,57369.0,0.8942111593369242
Idaho,2005,290256.0,23880.0,12154.773869346736,1522.0,23880.0,63.73534338358459,1885.0,24060.0,7.8345802161263505,1030.0,48643.0,2.117468083794174
Illinois,2005,2127824.0,221630.0,9600.794116319992,2724.0,221630.0,12.290754861706448,51260.0,208790.0,24.550984242540352,12519.0,589812.0,2.1225407417956905
